struct_id	name	book	book_enum	slot	category	category_raw	level	style	style_raw	adrenaline_tenths	cooldown_ticks	duration_ticks	animation	anim_enum	anim_default	spotanim_2920	spotanim_2933	spotanim_2940	icon	icon2	desc_param	description
49531	Basic Attack	melee	10147	100	auto	0		melee	1										21235	35555		
14678	Barge	melee	10147	1	basic	1	65	melee	1	90	34			10052	37394				14208	3101	2795	Run up and ram the target.
14679	Adaptive Strike	melee	10147	2	basic	1	7	melee	1	120	9			442	37388				21237	35556	2795	Channel your weapons form into an adaptive strike.
52781	Rend	melee	10147	16	basic	1	18	melee	1	90	17			9816	37416				14211	3104	2795	Slice through the target.
14682	Backhand	melee	10147	3	basic	1	31	melee	1	90	25			6692	18154				14212	3105	2795	Strike the target with the back of the hand.
14684	Flurry	melee	10147	4	threshold	2	45	melee	1	-250	34	8		10041	37428				14214	3107	2795	Swing both weapons rapidly around you.
14686	Overpower	melee	10147	5	ultimate	4	15	melee	1	-600	50			6695	18179				14216	3109	2795	Strike the target with a massive overhead swing.
14688	Meteor Strike	melee	10147	6	ultimate	4	90	melee	1	-600	100	50		6697	18175				21363	35561	2795	Jump up and strike the ground.
47129	Dive	melee	10147	7	utility	7	30	movement	8	0	34								23714	24055	2795	Dive forward.
1488	Bladed Dive	melee	10147	29	basic	1	65	melee	1	90	34								30331	6448	2795	Dash forward striking the enemies around you.
44244	Dismember	melee	10147	8	threshold	2	50	melee	1	0	40			10145	37412				21239	35558	2795	Slice at the target causing them to <col=ffffff>Bleed</col>.
14700	Punish	melee	10147	9	basic	1	60	melee	1	90	40			6727	18560				14257	3397	2795	Slash at the target unexpectedly.
14701	Fury	melee	10147	10	basic	1	21	melee	1	90	25			6724	37425				14258	3398	2795	Swing your weapon at the target with fury.
14704	Assault	melee	10147	11	threshold	2	3	melee	1	-250	10	8		6725	18577				14261	3401	2795	Strike at the target multiple times.
14685	Hurricane	melee	10147	12	threshold	2	37	melee	1	-250	34			10057	37437				14215	3108	2795	Spin on the spot with your weapon.
14707	Berserk	melee	10147	13	ultimate	4	76	melee	1	-1000	100	33							14264	3404	2795	Go berserk, empowering yourself.
14709	Pulverise	melee	10147	14	ultimate	4	71	melee	1	-600	100	50		6729	18540	3473			14266	3406	2795	Charge up a massive strike and pulverise the target.
46279	Chaos Roar	melee	10147	15	basic	1	92	melee	1	90	100	12		12157	34957				21238	35557	2795	Release a savage war cry, empowering your next strike.
52795	Basic Attack	ranged	6738	100	auto	0		ranged	3										23726	35567		
14663	Piercing Shot	ranged	6738	1	basic	1	13	ranged	3	90	5			10112	37473				23727	35572	2795	Fire two piercing shots.
14664	Binding Shot	ranged	6738	2	basic	1	31	ranged	3	90	25			6714	18461		3488		14244	3255	2795	Fire a binding shot.
14665	Escape	ranged	6738	3	utility	7	5	movement	8	0	34								14245	3256	2795	Leap backwards to maintain range.
14666	Snipe	ranged	6738	4	threshold	2	7	ranged	3	0	100			10140	37498				23729	35574	2795	Fire a precise shot.
14668	Ricochet	ranged	6738	5	basic	1	67	ranged	3	90	17			10113	37478				23868	35571	2795	Fire a shot which ricochets off the target.
14669	Snap Shot	ranged	6738	6	threshold	2	2	ranged	3	-250	0			10139	37451				23728	35573	2795	Fire two shots in quick succession.
14670	Rapid Fire	ranged	6738	7	threshold	2	62	ranged	3	-250	34			10141	37488				14250	3261	2795	Rapidly fire at the target.
52796	Imbue: Shadows	ranged	6738	19	threshold	2	90	ranged	3	-400	100	50		10144	37519				23761	35569	2795	Imbue your weapon with dark whispers.
14671	Bombardment	ranged	6738	8	threshold	2	36	ranged	3	-250	0			6719	18506		3525		14251	3262	2795	Fire a volley of shots into the air.
14674	Deadshot	ranged	6738	9	ultimate	4	21	ranged	3	-600	50			10142	37530				23730	35570	2795	Fire an enchanted shot at the target, striking them multiple times.
19251	Death's Swiftness	ranged	6738	10	ultimate	4	76	ranged	3	-1000	100	50							20185	20480	2795	Create a shroud of death.
52799	Galeshot	ranged	6738	11	basic	1	58	ranged	3	90	34	10		10143	37451				23731	35568	2795	Fire an infused shot at the target, empowering yourself with searing winds.
28177	Shadow Tendrils	ranged	6738	12	threshold	2	75	ranged	3	0	75	17		8806	23631				20914	3306	2795	Shadow tendrils whip at your feet, before striking the target.
31986	Corruption Shot	ranged	6738	13	threshold	2	70	ranged	3	-200	25			6713	18522		5715	5716	17255	6462	2795	Corrupts the target and nearby enemies, causing them to to take damage over time.
45801	Quiver ammo slot 1	ranged	6738	17	utility	7	0	ranged	3	0	0								15031	16489	2795	Select the ammo in slot 1 of your quiver.
45802	Quiver ammo slot 2	ranged	6738	18	utility	7	0	ranged	3	0	0								15032	16490	2795	Select the ammo in slot 2 of your quiver.
52777	Basic Attack	magic	6740	258	auto	0		magic	4										23399	35562		
14725	Runic Charge	magic	6740	1	utility	7	26	magic	4	0	50	25		6706	18355		3536		23725	35566	2795	Charge yourself with Anima
14726	Surge	magic	6740	2	utility	7	5	movement	8	0	34								14233	3216	2795	Teleport forward.
14727	Impact	magic	6740	3	basic	1	31	magic	4	90	25			10089	37358				14234	3217	2795	Smash the target with a burst of earth energy.
14728	Chain	magic	6740	4	basic	1	51	magic	4	90	17			10090	37355				15037	15080	2795	A magical spell that chains between nearby targets.
14729	Combust	magic	6740	5	basic	1	38	magic	4	90	30			10085	37350		8170		23401	35563	2795	Explode the target, causing them to <col=ffffff>Burn</col>.
14730	Dragon Breath	magic	6740	6	basic	1	19	magic	4	90	12			6735	36640				14236	3219	2795	Breathe a mighty cloud of fire.
14731	Asphyxiate	magic	6740	7	threshold	2	59	magic	4	-250	34	8		10087	37352				14237	3220	2795	Reach out with magical force and choke the target.
14733	Wild Magic	magic	6740	9	threshold	2	3	magic	4	-250	9			10091	37366				14239	3222	2795	Fire an unpredictable double magical attack at the target.
14735	Tsunami	magic	6740	10	ultimate	4	90	magic	4	-1000	100	50		7124	37101		3562		14240	3231	2795	Summon forth a destructive wall of water.
14736	Omnipower	magic	6740	11	ultimate	4	12	magic	4	-600	50			10092	37360				14242	3233	2795	Bombard the target with each of the four elements.
14738	Air Strike	magic	6740	14	spell		1	magic	4		4		37251						14348	3436	2795	A simple air spell.
14739	Confuse	magic	6740	15	spell		1	magic	4		3		18251				104	103	14389	3692	2795	Reduces the target's chance to hit by <col=ffffff>5%</col> for <col=ffffff>1</col> minute.
14741	Water Strike	magic	6740	16	spell		5	magic	4		4		37261						14349	3437	2795	A simple water spell.
14742	Lvl-1 Enchant	magic	6740	17	spell		7	magic	4										14382	3470	2795	Imbues sapphire, opal and lapis lazuli jewellery with magical properties.
14743	Earth Strike	magic	6740	18	spell		9	magic	4		4		37271						14350	3438	2795	A simple earth spell.
14744	South Feldip Hills Teleport	magic	6740	19	spell		10	magic	4										36136	36178	2795	Teleport yourself to South Feldip Hills.
14745	Weaken	magic	6740	20	spell		11	magic	4		3		18254				107	106	14390	3693	2795	Reduces the target's damage dealt by <col=ffffff>5%</col> for <col=ffffff>1</col> minute.
14746	Fire Strike	magic	6740	21	spell		13	magic	4		4		37281						14351	3439	2795	A simple fire spell.
