struct_id	name	style	category	adrenaline_cost_pct	adrenaline_gain_pct	cooldown_ticks	hits	channel_ticks	effects	requires	source	tier
49531	Basic Attack	melee	auto		9	3	0:110-130			target	Attack (ability)	LOW
14678	Barge	melee	basic		9	34	1:75-95		bind:11,dash:10	target	Barge	HIGH
14679	Adaptive Strike	melee	basic		12	9	0:120-140		other:variant_2h_cone_aoe_8,other:variant_dual_2_hits_60-75,other:bloodlust_+1		Adaptive Strike	HIGH
52781	Rend	melee	basic		9	17	0:135-165		other:bloodlust_+2	target	Rend	HIGH
14682	Backhand	melee	basic		9	25	1:95-105		stun:3,bind:3,other:bloodlust_+1	target	Backhand	HIGH
14684	Flurry	melee	threshold	25		34	1:60-70;2:60-70;3:60-70;4:60-70;5:60-70;6:60-70;7:60-70;8:60-70	8	stun:6,bind:6,aoe:1	dual,target	Flurry	HIGH
14686	Overpower	melee	ultimate	60		50	3:520-570			target	Overpower	HIGH
14688	Meteor Strike	melee	ultimate	60		100	0:220-250		aoe:1,buff:meteor_strike:50,other:adrenaline_4.5_per_tick_while_melee	target	Meteor Strike	HIGH
1488	Bladed Dive	melee	basic		9	34	0:75-95		aoe:1,dash:10	dual,target	Bladed Dive	HIGH
44244	Dismember	melee	threshold			40			bleed:8x2:25-35,heal:4,other:recast_within_40	target	Dismember	HIGH
14700	Punish	melee	basic		9	40	0:110-130		other:x2.5_below_50pct_lifepoints	target	Punish	HIGH
14701	Fury	melee	basic		9	25	0:110-130		other:next_melee_crit_chance_+25	target	Fury	HIGH
14704	Assault	melee	threshold	25		10	1:130-150;3:130-150;5:130-150;7:130-150	7	other:bloodlust_4_hits_170-190	target	Assault	HIGH
14685	Hurricane	melee	threshold	25		34	0:135-165;0:155-185		aoe:1,other:bloodlust_third_hit_75-95	2h,target	Hurricane	LOW
14707	Berserk	melee	ultimate	100		100			buff:berserk:33,other:melee_damage_x1.75,other:damage_taken_x1.25	no_target	Berserk	HIGH
14709	Pulverise	melee	ultimate	60		100	0:300-340		debuff:pulverised:50,other:adrenaline_+50_on_kill	2h,target	Pulverise	HIGH
46279	Chaos Roar	melee	basic		9	100	0:100-120		buff:chaos_roar:12	target	Chaos Roar	HIGH
52795	Basic Attack	ranged	auto		9	3	0:90-110			target	Ranged (ability)	LOW
14663	Piercing Shot	ranged	basic		9	5	0:45-55;0:45-55		other:snipe_cooldown_-4_per_hit	target	Piercing Shot	LOW
14664	Binding Shot	ranged	basic		9	25	0:65-75		stun:2,bind:16	target	Binding Shot	HIGH
14666	Snipe	ranged	threshold			100	3:300-360	3		target	Snipe	HIGH
14668	Ricochet	ranged	basic		9	17	0:75-85;1:15-20;1:15-20		aoe:5,other:extra_hits_only_for_missing_secondary_targets	target	Ricochet	HIGH
14669	Snap Shot	ranged	threshold	25		3	0:135-155;0:135-155			target	Snap Shot	LOW
14670	Rapid Fire	ranged	threshold	25		34	1:75-85;2:75-85;3:75-85;4:75-85;5:75-85;6:75-85;7:75-85;8:75-85	8	bind:10,other:searing_winds_+1_per_hit	target	Rapid Fire	HIGH
52796	Imbue: Shadows	ranged	threshold	40		100			buff:shadow_imbued:50,other:adrenaline_+5_per_ranged_hit	no_target	Imbue: Shadows	HIGH
14671	Bombardment	ranged	threshold	25		3	0:220-260		aoe:2	target	Bombardment	LOW
14674	Deadshot	ranged	ultimate	60		50	0:105-125;0:105-125;0:105-125;0:105-125			target	Deadshot	LOW
19251	Death's Swiftness	ranged	ultimate	100		100			buff:deaths_swiftness:50,other:ranged_damage_x1.5	no_target	Death's Swiftness	HIGH
52799	Galeshot	ranged	basic		9	34	0:90-110		buff:searing_winds:10,other:ranged_bonus_+20_per_hit	target	Galeshot	HIGH
28177	Shadow Tendrils	ranged	threshold			75	0:200-240		other:guaranteed_crit,other:self_damage_100-135,other:shadow_imbued_+6	target	Shadow Tendrils	HIGH
31986	Corruption Shot	ranged	threshold	20		25			bleed:5x2:90-110,other:decay_20pct_of_initial_per_hit,aoe:5	target	Corruption Shot	HIGH
52777	Basic Attack	magic	auto		9	3	0:90-110			target	Magic (ability)	LOW
14727	Impact	magic	basic		9	25	0:65-75		stun:3,bind:3	target	Impact	HIGH
