struct_id	name	tier	proposed_animation	proposed_graphic
49531	Basic Attack	anim=none graphic=none		
14678	Barge	anim=MID graphic=LOW	37394	9018
14679	Adaptive Strike	anim=HIGH graphic=none	37392	
52781	Rend	anim=LOW graphic=none	37416	
14682	Backhand	anim=MID graphic=LOW	18154	4574
14684	Flurry	anim=MID graphic=LOW	37428	9016
14686	Overpower	anim=MID graphic=LOW	18179	3584
14688	Meteor Strike	anim=MID graphic=LOW	18175	3583
47129	Dive	anim=LOW graphic=none	35755	
1488	Bladed Dive	anim=LOW graphic=none	35626	
44244	Dismember	anim=MID graphic=none	37412	
14700	Punish	anim=MID graphic=LOW	18560	946
14701	Fury	anim=MID graphic=LOW	37425	3467
14704	Assault	anim=HIGH graphic=HIGH	18577	9078
14685	Hurricane	anim=MID graphic=LOW	37437	9017
14707	Berserk	anim=LOW graphic=LOW	35132	7797
14709	Pulverise	anim=MID graphic=MID	18540	3473
46279	Chaos Roar	anim=MID graphic=none	34957	
52795	Basic Attack	anim=none graphic=none		
14663	Piercing Shot	anim=MID graphic=LOW	37473	4590
14664	Binding Shot	anim=MID graphic=LOW	18461	3488
14665	Escape	anim=LOW graphic=LOW	18527	3526
14666	Snipe	anim=MID graphic=LOW	37498	9029
14668	Ricochet	anim=MID graphic=none	37478	
14669	Snap Shot	anim=MID graphic=LOW	37451	9042
14670	Rapid Fire	anim=MID graphic=LOW	37488	9024
52796	Imbue: Shadows	anim=MID graphic=none	37519	
14671	Bombardment	anim=MID graphic=LOW	18506	3524
14674	Deadshot	anim=MID graphic=LOW	37530	9048
19251	Death's Swiftness	anim=LOW graphic=LOW	19879	3869
52799	Galeshot	anim=LOW graphic=none	37451	
28177	Shadow Tendrils	anim=LOW graphic=none	23631	
31986	Corruption Shot	anim=LOW graphic=none	18522	
45801	Quiver ammo slot 1	anim=none graphic=none		
45802	Quiver ammo slot 2	anim=none graphic=none		
52777	Basic Attack	anim=none graphic=none		
14725	Runic Charge	anim=MID graphic=LOW	18355	3530
14726	Surge	anim=LOW graphic=LOW	37099	3537
14727	Impact	anim=MID graphic=none	37358	
14728	Chain	anim=MID graphic=LOW	37355	3553
14729	Combust	anim=MID graphic=LOW	37350	8169
14730	Dragon Breath	anim=MID graphic=LOW	36640	3561
14731	Asphyxiate	anim=MID graphic=LOW	37352	3541
14733	Wild Magic	anim=MID graphic=none	37366	
14735	Tsunami	anim=MID graphic=LOW	37101	3549
