slot	coord	x	y	plane	name	varbit	loc
1	52661131	3214	2955	0	Bandit Camp	-1	-1
2	34213704	2088	3912	0	Lunar Isle	-1	-1
3	54021233	3297	3185	0	Al Kharid	28	69829
4	43158805	2634	3349	0	Ardougne	29	69830
5	47500761	2899	3545	0	Burthorpe	30	69831
6	46058874	2811	3450	0	Catherby	31	69832
7	50875619	3105	3299	0	Draynor Village	32	69833
8	50253234	3067	3506	0	Edgeville	33	69834
9	48614732	2967	3404	0	Falador	34	69835
10	52972694	3233	3222	0	Lumbridge	35	69836
11	49335440	3011	3216	0	Port Sarim	36	69837
12	44060059	2689	3483	0	Seers' Village	37	69838
13	47156595	2878	3443	0	Taverley	38	69839
14	52661553	3214	3377	0	Varrock	39	69840
15	41438231	2529	3095	0	Yanille	40	69841
16	57626044	3517	3516	0	Canifis	18523	84748
17	38768024	2366	3480	0	Eagles' Peak	18524	84749
18	44437086	2712	3678	0	Fremennik Province	18525	84750
19	45239372	2761	3148	0	Karamja	18526	84751
20	41487160	2532	2872	0	Oo'glog	18527	84752
21	36932686	2254	3150	0	Tirannwn	18528	84753
22	51498548	3143	3636	0	Wilderness Crater	18529	84754
23	577407637	2474	2709	2	Ashdale	22430	66532
24	304614689	2208	3361	1	Prifddinas	24967	93370
25	52693661	3216	2717	0	Menaphos	36173	109414
26	88983843	5431	2339	0	Anachronia	44270	113742
27	54037958	3298	3526	0	Fort Forinthry	-1	-1
28	286181096	1083	1768	1	City of Um	53270	127266
29	85517917	5219	9821	0	Christmas Village	-1	-1
30	62362491	3806	4987	0	Blooming Burrow	-1	-1
31	9963177	608	1705	0	Harvest Hollow	-1	-1
32	10130537	618	5225	0	Sunlight Sands Beach	-1	-1
33	56706544	3461	1520	0	Wendlewick	-1	-1
