sample	packet	npc_index	npc_id	name	anim0	anim1	anim2	anim3	delay	animgroup	death_candidate	kill_candidate
set1	30	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
set1	33	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
set1	50	13513	25841	Pickle the cat	19370	19370	19370	19370	128		0	0
set1	64	13513	25841	Pickle the cat	19275	19275	19275	19275	128		0	0
set1	110	13513	25841	Pickle the cat	19276	19276	19276	19276	128		0	0
set1	111	46240	1030	Gourmet impling	12831	12831	12831	12831	128		0	0
set1	158	13544	4273	Goblin	6183	6183	6183	6183	128		0	0
set1	159	13544	4273	Goblin	6182	6182	6182	6182	128		0	0
set1	162	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
set1	177	13551	4272	Goblin	6189	6189	6189	6189	128		0	0
set1	178	13551	4272	Goblin	6188	6188	6188	6188	128		0	0
set1	180	13551	4272	Goblin	6190	6190	6190	6190	128		0	0
set1	932	12533	15	Warrior woman	388	388	388	388	128		0	0
set1	933	12533	15	Warrior woman	388	388	388	388	128		0	0
set1	934	12533	15	Warrior woman	836	836	836	836	128		0	0
set1	940	12531	15	Warrior woman	388	388	388	388	128		0	0
set1	943	12531	15	Warrior woman	388	388	388	388	128		0	0
set1	944	12531	15	Warrior woman	836	836	836	836	128		0	0
set1	952	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
set1	955	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
set1	956	12579	4274	Goblin	6182	6182	6182	6182	128		0	0
set1	1011	12529	15	Warrior woman	388	388	388	388	128		0	0
set1	1012	12529	15	Warrior woman	386	386	386	386	128		0	0
set1	1014	12529	15	Warrior woman	836	836	836	836	128		0	1
set1	1027	12572	4275	Goblin	6182	6182	6182	6182	128		0	1
set1	1040	12561	4265	Goblin	6182	6182	6182	6182	128		0	1
set1	1051	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
set1	1053	12579	4274	Goblin	6182	6182	6182	6182	128		0	0
set1	1062	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1063	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1064	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
set1	1067	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1069	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
set1	1071	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1073	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
set1	1074	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
set1	1075	11767	1588	Moss giant	4659	4659	4659	4659	128		0	0
set1	1084	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1086	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
set1	1088	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1089	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
set1	1091	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
set1	1092	11770	4688	Moss giant	4659	4659	4659	4659	128		0	0
set1	1112	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1115	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
set1	1119	11768	1587	Moss giant	4659	4659	4659	4659	128		0	0
set1	1142	51210	30267	None	24743	24743	24743	24743	128		0	0
set1	1143	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
set1	1144	51178	30265	None	35204	35204	35204	35204	128		0	0
set1	1145	51186	30266	None	35249	35249	35249	35249	128		0	0
set1	1146	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
set1	1147	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
