book	slot	tier	struct	name	level	varbit	varp	bit	drain	bar_index	stat_req	effect
prayers	0	1	14541	Thick Skin	1	16739	3272	0	10	1	-	{{scm|Defence|+2}} levels (for armour)
prayers	0	2	14542	Rock Skin	10	16739	3272	0	40	4	-	{{scm|Defence|+4}} levels (for armour)
prayers	0	3	14543	Steel Skin	28	16739	3272	0	100	10	-	{{scm|Defence|+6}} levels (for armour)
prayers	1	1	14545	Burst of Strength	4	16740	3272	1	10	2	-	+2% {{scm|Melee}} damage
prayers	1	2	14546	Superhuman Strength	13	16740	3272	1	40	5	-	+4% {{scm|Melee}} damage
prayers	1	3	14547	Ultimate Strength	31	16740	3272	1	100	11	-	+6% {{scm|Melee}} damage
prayers	2	1	14549	Clarity of Thought	7	16741	3272	2	10	3	-	{{scm|Attack|+2}} levels (for accuracy)
prayers	2	2	14550	Improved Reflexes	16	16741	3272	2	40	6	-	{{scm|Attack|+4}} levels (for accuracy)
prayers	2	3	14551	Incredible Reflexes	34	16741	3272	2	100	12	-	{{scm|Attack|+6}} levels (for accuracy)
prayers	3	1	14557	Unstoppable Force	8	16753	3272	14	10	51	-	+2% {{skill clickpic|Ranged}} damage
prayers	3	2	14558	Unrelenting Force	26	16753	3272	14	40	52	-	+4% {{skill clickpic|Ranged}} damage
prayers	3	3	14559	Overpowering Force	44	16753	3272	14	100	53	-	+6% {{skill clickpic|Ranged}} damage
prayers	4	1	14553	Sharp Eye	8	16751	3272	12	10	19	-	{{scm|Ranged|+2}} levels (for accuracy)
prayers	4	2	14554	Hawk Eye	26	16751	3272	12	40	21	-	{{scm|Ranged|+4}} levels (for accuracy)
prayers	4	3	14555	Eagle Eye	44	16751	3272	12	100	23	-	{{scm|Ranged|+6}} levels (for accuracy)
prayers	5	1	14565	Charge	9	16754	3272	15	10	54	-	+2% {{skill clickpic|Magic}} damage
prayers	5	2	14566	Super Charge	27	16754	3272	15	50	55	-	+4% {{skill clickpic|Magic}} damage
prayers	5	3	14567	Overcharge	45	16754	3272	15	100	56	-	+6% {{skill clickpic|Magic}} damage
prayers	6	1	14561	Mystic Will	9	16752	3272	13	10	20	-	{{scm|Magic|+2}} levels (for accuracy)
prayers	6	2	14562	Mystic Lore	27	16752	3272	13	40	22	-	{{scm|Magic|+4}} levels (for accuracy)
prayers	6	3	14563	Mystic Might	45	16752	3272	13	100	24	-	{{scm|Magic|+6}} levels (for accuracy)
prayers	7	1	48365	Decay	10	53272	3273	1	10	78	-	+2% {{skill clickpic|Necromancy}} damage
prayers	7	2	48366	Hastened Decay	28	53272	3273	1	40	79	-	+4% {{skill clickpic|Necromancy}} damage
prayers	7	3	48367	Accelerated Decay	46	53272	3273	1	100	80	-	+6% {{skill clickpic|Necromancy}} damage
prayers	8	1	48361	Hand of Judgement	10	53271	3273	0	10	75	-	+2 {{skill clickpic|Necromancy}} levels when determining accuracy
prayers	8	2	48362	Hand of Fate	28	53271	3273	0	10	76	-	+4 {{skill clickpic|Necromancy}} levels when determining accuracy
prayers	8	3	48363	Hand of Doom	46	53271	3273	0	100	77	-	+6 {{skill clickpic|Necromancy}} levels when determining accuracy
prayers	9	0	14572	Rapid Restore	19	16742	3272	3	10	7	-	2x restore rate for all {{scm|skill}} except {{scm|Constitution}}, {{scm|Prayer}} and {{scm|Summoning}}
prayers	10	0	14573	Rapid Heal	22	16743	3272	4	10	8	-	-
prayers	11	0	14575	Protect Item	25	16744	3272	5	10	9	-	-
prayers	12	0	14579	Protect from Summoning	35	16755	3272	16	150	25	-	-
prayers	13	0	14576	Protect from Magic	37	16745	3272	6	150	13	-	-
prayers	14	0	14577	Protect from Ranged	40	16746	3272	7	150	14	-	Protection from Ranged attacks - 50%. Reduces the duration of the bind from [[bolas]] by 25%.
prayers	15	0	14578	Protect from Melee	43	16747	3272	8	150	15	-	-
prayers	16	0	48369	Protect from Necromancy	46	53274	3273	3	150	82	-	-
prayers	17	0	14580	Retribution	46	16748	3272	9	150	16	-	-
prayers	18	0	14581	Redemption	49	16749	3272	10	150	17	-	-
prayers	19	0	14582	Smite	52	16750	3272	11	200	18	-	Drains enemy's prayer by 1 for every 40 (26 legacy) damage dealt. Cap of 100 prayer point drained per hit.
prayers	20	0	14568	Chivalry	60	16756	3272	17	150	26	1:65	{{scm|Attack|+7}} levels (for accuracy)<br> +7% {{scm|Melee}} damage<br> {{scm|Defence|+7}} levels (for armour)
prayers	21	0	14574	Rapid Renewal	65	16758	3272	19	100	28	-	-
prayers	22	0	14569	Piety	70	16757	3272	18	200	27	1:70	+8 {{scm|Attack}} levels (for accuracy)<br> +8% {{scm|Melee}} damage<br>+8 {{scm|Defence}} levels (for armour)
prayers	23	0	14571	Rigour	70	16760	3272	21	200	30	1:70	+8 {{skill clickpic|Ranged}} levels (for accuracy)<br />+8% {{skill clickpic|Ranged}} damage<br />+8 {{skill clickpic|Defence}} levels (for armour)
